id,name,carbohydrate,protein,fat,calories
337,대합미역국,2.2,4.9,1.8,44
338,도가니탕,4.1,41.8,1.6,198
339,동태국,5.6,9.7,0.6,66
340,메밀묵국,14.3,4,1.6,87
341,무시래기된장국,8.1,5.2,0.9,61
342,미역냉국,26.3,0.7,2.3,128
343,미역된장국,9.1,6.3,3.9,96
344,미역오이냉국,3,1.3,0.5,21
345,배추된장국,10.3,5.8,1.6,79
346,북엇국,3.4,15.6,3.9,111
347,뼈해장국,8.5,25.6,7.8,206
348,사골국,11.2,22.2,9.7,220
349,새우미역국,7.3,4.4,1.8,63
350,새우탕,10,25.8,2.2,163
351,선짓국,7.4,23.2,5.7,173
352,설렁탕,1.8,21.3,2.9,118
353,쇠고기무국,4.4,5.3,2.5,61
354,쇠고기미역국,3.3,7.4,1,52
355,쇠고기배추국,4.6,7.3,1.6,62
356,순댓국,89.7,14.1,10.5,509
357,순두부달걀탕,3.3,6.2,7.1,102
358,시금치된장국,3.9,4.1,0.7,37
359,쑥된장국,6.1,4.9,1.9,60
360,아욱된장국,6.3,9.1,2.2,81
361,애호박된장국,5.6,13.4,5.2,122
362,어묵국,13.4,5.2,3.6,106
363,얼갈이배춧국,3.4,2,1.6,36
364,오이냉국,2.7,1.5,2.4,38
365,오징어국,3.6,11.1,3.7,91
366,우거지곰탕,9.1,8.3,2.1,88
367,우거지된장국,3.3,11.1,2.3,78
368,육개장,6.5,16.2,4.4,130
369,일본된장국,0.4,1.4,1.5,20
370,재첩국,15.9,2.3,1,81
371,조갯국,1,6.7,3.6,62
372,콩나물국,2.4,2.9,0.3,24
373,콩나물된장국,10.5,10.3,4.5,123
374,토란국,10.4,4,0.5,62
375,해물된장국,10.7,8.4,3.9,111
376,호박잎된장국,1.9,1.4,1.1,23
377,홍합무국,3,2.8,7.1,87
378,갓김치,1.9,1,0.5,16
379,고들빼기김치,5.8,1.5,0.7,35
380,깍두기,2.1,0.8,0.5,16
381,깻잎김치,4.5,1.4,0.9,31
382,나박김치,1.1,0.5,0.4,9
383,돌나물물김치,3,1.2,0.3,19
384,동치미,4.5,0.6,0.7,27
385,백김치,2.1,0.9,0.5,16
386,보쌈김치,3.4,2,0.7,27
387,부추김치,3.2,1.3,0.6,23
388,얼갈이배추김치,8.7,1.3,1.2,50
389,열무김치,0.9,0.7,0.5,10
390,오이김치,4,1.4,0.6,26
391,오이소박이,4.4,1.7,0.9,32
392,총각김치,3.6,1,0.5,22
393,파김치,1.3,0.8,0.6,13
394,가죽나물무침,8,4.7,1.1,60
395,가지나물,2.1,0.7,0.8,17
396,건 취나물,3.2,1.8,2.7,44
397,고구마줄기나물,2.1,0.5,3.5,41
398,고사리나물,3.1,1.9,2.8,44
399,고춧잎나물,6.4,4,4.2,79
400,깻잎나물,2.5,1.3,2.6,38
401,냉이나물,9.4,3,1.8,66
402,도라지나물,6.6,1.2,3.8,65
403,머위대나물,2.4,2,1.3,28
404,무나물,1.8,0.3,0.2,10
405,방풍나물,8.6,3.5,1.4,60
406,배추나물,6.8,1.6,1.7,49
407,비름나물,4.6,2.8,3.2,58
408,숙주나물,1.5,1.1,0.8,17
409,시금치나물,1.7,1.9,2.2,34
410,시래기나물,3.9,2.2,3.6,56
411,씀바귀나물,14.9,3.5,1.6,87
412,애호박볶음,2.7,0.7,1.8,29
413,열무나물,4.3,3.5,4.8,74
414,열무된장나물,3.7,3.3,3.7,61
415,오이나물,0.4,1.5,6.5,66
416,유채나물무침,7,5.2,4.1,86
417,참나물무침,3.7,2.3,3.3,53
418,취나물된장무침,3.7,2.8,1.5,39
419,콩나물고춧가루무침,5.3,3.5,5.3,83
420,콩나물무침,1.6,1.9,2.3,34
421,토란대나물,3.8,4.6,3,61
422,톳나물무침,11,1.7,1.9,67
423,간짜장,75.7,25.6,24.4,625
424,고기만두,38.3,27.2,9.8,350
425,군만두,56.3,15.5,25.3,514
426,김치만두,37.4,22.5,10.5,334
427,달걀라면,95.3,14.4,17.5,596
428,떡라면,84,11.2,16.1,525
429,떡만두국,92.8,21.2,23.4,666
430,라면,75.1,9.5,12.5,450
431,막국수,143.4,34.8,9.6,799
432,만두,39.8,19,18,397
433,메밀국수,42.2,11,1,221
434,물냉면,72.2,13.7,4.5,383
435,물만두,35.9,18.5,25.6,448
436,미트볼 토마토 스파게티,88.1,36.7,44.4,898
437,바지락칼국수,111.8,24,3.7,576
438,볶음우동,74.4,8.4,6,385
439,비빔국수,102.4,15.1,4.8,512
440,비빔냉면,66.7,28.3,13.2,499
441,사골만두국,62.6,26.2,28,606
442,수제비,72,15,3.4,378
443,월남쌈,30.6,14.9,12.4,293
444,잔치국수,56.3,13.5,3.4,310
445,쟁반국수,57.7,30,20.5,535
446,쫄면,127.9,17.7,13.8,706
447,칼국수,104.3,23.1,3.5,540
448,콩국수,71.4,31.2,26.8,651
449,회냉면,111,29,20.1,741
450,검정콩밥,68.6,9.1,2.2,330
451,계란볶음밥,63,17.2,29.3,584
452,고추김밥,79.8,14.1,12.8,490
453,기장밥,73.5,6.9,1.1,331
454,김치김밥,51.8,11.6,10.9,351
455,낙지덮밥,84.4,20.6,11.7,525
456,날치알김밥,74.5,15.9,11.1,461
457,닭고기덮밥,60.8,46.8,8.9,510
458,돈까스김밥,101.2,18.5,18.6,646
459,돌솥비빔밥,93.8,20.5,11.2,558
460,돼지머리국밥,143.4,60.3,46.5,1233
461,모듬회덮밥,72.8,37.3,17,593
462,무밥,56.3,7.3,1.3,266
463,보리밥,73.5,5.8,0.5,321
464,볶음밥,118.9,19.5,9.7,640
465,불고기덮밥,107.8,26.4,21.2,728
466,생선모듬초밥,101.5,36.7,6.1,607
467,소머리국밥,27,15.8,7.5,239
468,쇠고기김밥,64.4,16.2,13.9,447
469,쇠고기볶음밥,56.6,19.7,16.9,456
470,쇠고기주먹밥,69.5,9.5,4.4,355
471,수수밥,70,6.3,1.8,321
472,알밥,52,15.6,16.9,422
473,영양돌솥밥,126.2,12,10,643
474,오징어덮밥,79,25.9,7.2,484
475,완두콩밥,62.5,5.9,0.3,276
476,유부초밥,59.6,11.6,11.5,388
477,육회비빔밥,68.8,19.2,10.1,442
478,잡곡밥,58.6,10.6,1.7,292
479,잡채밥,141.8,22.1,18.8,825
480,제육덮밥,79.2,44.3,50.6,949
481,짜장밥,73.2,20.1,22.2,572
482,짬뽕밥,104.9,28.8,12.6,647
483,차조밥,69.7,5.7,1.3,313
484,찰밥,94,12.3,0.5,429
485,참치김밥,50.7,17.5,18,435
486,참치마요삼각김밥,50.9,11.9,16.4,398
487,참치볶음밥,75.7,10.6,7.5,412
488,채소김밥,74.6,12.9,10.2,442
489,채소볶음밥,74.7,12.3,14,474
490,치즈김밥,59.7,16.9,19,476
491,콩나물국밥,85.2,11.3,1.9,403
492,콩나물밥,71.7,15,5.1,392
493,팥밥,64.5,6.6,0.2,286
494,표고버섯볶음밥,95.4,10.1,14.4,551
495,하이라이스,76.8,14.5,4.1,401
496,현미밥,89.5,7.1,1.1,396
497,흑미밥,80.1,6.5,0.2,348
498,감자채소볶음,17,2.6,6.8,139
499,건새우볶음,1.1,8.3,2.6,60
500,고추볶음,8.2,1.9,3.2,69
501,김치볶음,7.3,1.4,7.9,106
502,꽈리고추멸치볶음,4,11.8,7,126
503,낙지볶음,17.2,11.5,7.5,182
504,느타리버섯볶음,3.4,1.4,3.1,47
505,닭가슴살피망볶음,1.1,13.1,4.5,97
506,닭발볶음,23.4,27.6,18.8,372
507,닭볶음,23.8,41.9,32.9,558
508,당근볶음,7,0.8,6,85
509,돼지고기김치볶음,13.6,27.2,23.1,371
510,돼지고기채소볶음,19.8,38.1,17.5,388
511,돼지곱창순대볶음,42.6,16.6,6.9,299
512,라볶이,40.3,5.7,9.4,268
513,마늘쫑볶음,18.4,4.5,3.6,123
514,마늘쫑잔멸치볶음,7.7,3.8,1.4,58
515,마파두부,8.6,11.7,10.4,174
516,멸치견과류볶음,9.2,15.2,12.2,206
517,멸치마늘쫑볶음,6.2,16.2,5.4,138
518,멸치볶음,6.8,19.7,3.5,137
519,묵은지삼겹살볶음,16.8,11.5,21,302
520,문어고추장볶음,17.2,21.9,2,175
521,미역줄기볶음,3.9,0.8,4.8,61
522,브로콜리볶음,5,4,1.1,46
523,새송이버섯볶음,11.1,3.5,9.6,145
524,새우볶음,11.9,19.8,4.4,166
525,소시지볶음,28.8,23.9,38.7,559
526,쇠고기고추장볶음,23.6,31.6,23.7,434
527,쇠고기버섯볶음,15.9,26.7,17.8,330
528,쇠고기볶음,5.4,33.2,43.2,543
529,쇠고기채소볶음,14.8,29.4,12.4,288
530,양파볶음,7.6,0.8,1.2,44
531,어묵볶음,34.1,11.8,10.2,275
532,어묵잡채,73.2,6.6,10.6,414
533,어묵채소볶음 ,15.5,5.7,5.8,136
534,오징어볶음,14.9,19.7,13,255
535,오징어채볶음,4.1,4.1,3,59
536,유산슬,9,16.6,9.7,189
537,잔멸치견과류볶음,11.3,12.2,11.1,193
538,잔멸치고추볶음,2.9,16.6,4,114
539,잔멸치꽈리고추볶음,4.6,12.4,8.7,146
540,잔멸치볶음,4.8,21.8,7.1,170
541,잔멸치풋고추볶음,8.5,14.1,4.2,127
542,제육볶음,11.8,30.4,35.5,487
543,죽순쇠고기볶음,8.7,31.5,12.9,276
544,참치 김치볶음,7.1,8.3,6.7,121
545,채소떡볶이,114.1,6.2,3.8,515
546,콩나물잡채,28.9,4.4,2.2,153
547,팔보채,7.5,27.3,6.4,196
548,풋고추멸치볶음,6.7,10.3,3,94
549,햄채소볶음,21.1,23,25,401
550,BLT샌드위치,18.6,20.9,29.6,423
551,감자크로켓,18.4,8.5,20.9,295
552,꽈배기,30.1,5.8,14.3,272
553,닭가슴살샌드위치,48.2,28,27.4,551
554,링도넛,46.2,7.9,33.2,514
555,마늘빵,29,6,8.8,219
556,머핀,76.9,7.4,18,499
557,모닝빵,36.5,6.7,5.2,219
558,모카빵,86.9,12.8,12.1,507
559,베이글,64.2,12,7,367
560,불고기버거,45.4,27.8,23,499
561,사과파이,34.8,2.5,3.9,184
562,소보로빵,38.9,5.8,10.6,274
563,식빵,50.9,9.3,2.6,264
564,식빵토스트,51.5,8.8,13.8,365
565,참치 샌드위치,34.5,26.3,29.1,505
566,찹쌀도넛,38.9,4.2,3.2,201
567,채소샌드위치,42.9,7.4,26.5,439
568,초코 소라빵,36.2,2.3,7.7,222
569,츄러스,40.7,4.6,7.9,252
570,치킨버거,50.2,24.9,19.5,475
571,카스텔라,33.6,7,8,234
572,콤비네이션피자,51.1,21.3,28.7,548
573,크로아상,65,11.3,40.5,669
574,페이스트리,29.1,5.8,20.8,326
575,피자빵,63.5,17.7,30.1,595
576,햄버거,43.3,25.7,27.9,527
577,햄샌드위치,31.3,24.9,23.8,439
578,햄치즈샌드위치,45.8,21.1,18.4,433
579,호떡,85.7,8.1,10.6,470
580,가오리회무침,14.6,26.1,2.7,186
581,감자샐러드,18.4,2,12,189
582,골뱅이국수무침,43.5,11.5,3.4,250
583,과일샐러드,13,1.8,8.9,138
584,굴무생채,17.8,11,3.8,149
585,굴무침,5.8,5.3,1.9,61
586,김무침,5.8,6.4,3.2,77
587,낙지무침,7.1,22.3,2.2,137
588,느타리버섯무침,5.2,4.1,5.7,88
589,다시마무침,6.1,2.3,1.1,43
590,단호박샐러드,28.1,2.2,13.4,242
591,달래무침,3.6,1.7,1.8,37
592,닭가슴살샐러드,8,10.8,14.2,203
593,닭고기냉채,12,31.4,4.7,215
594,도라지생채,25.8,3.3,0.8,123
595,도라지오이생채,10.1,2.7,2.8,76
596,도토리묵 무침,21.8,1.9,5.9,147
597,돌나물무침,4.2,0.8,1.6,34
598,두릅초고추장무침,7.1,1.9,2.7,60
599,마늘쫑무침,3.8,0.8,1.5,31
600,무말랭이무침,4.5,0.8,0.3,24
601,무생채,11,3.6,1.7,73
602,미나리무침,4.9,1.2,1.9,41
603,미역초무침,2.6,0.6,0.5,17
604,민들레잎무침,11.1,2.4,2.1,72
605,배추겉절이,3.3,1.1,1.1,27
606,부추무침,6.2,3.5,5.9,92
607,북어채무침,18.1,42.6,4.4,282
608,상추겉절이,5.3,2.4,3.4,61
